c_gp_4_season_32,https://www.continental-tires.com/bicycle/tires/race-tires/grand-prix-4-season,Continental Gp 4 Season 32
c_gp_4_season_28,https://www.continental-tires.com/bicycle/tires/race-tires/grand-prix-4-season,Continental Gp 4 Season 28
c_gp_4_season_25,https://www.continental-tires.com/bicycle/tires/race-tires/grand-prix-4-season,Continental Gp 4 Season 25
c_gatorskin_32_f,https://www.continental-tires.com/bicycle/tires/race-tires/gatorskin,Continental Gatorskin 32 F
c_gatorskin_25_f,https://www.continental-tires.com/bicycle/tires/race-tires/gatorskin,Continental Gatorskin 25 F
c_gatorskin_25,https://www.continental-tires.com/bicycle/tires/race-tires/gatorskin,Continental Gatorskin 25
c_ultra_sport_25,https://www.continental-tires.com/bicycle/tires/race-tires/ultra-sport2,Continental Ultra Sport 25
c_ultra_sport_25_f,https://www.continental-tires.com/bicycle/tires/race-tires/ultra-sport2,Continental Ultra Sport 25 F
c_ultra_sport_23,https://www.continental-tires.com/bicycle/tires/race-tires/ultra-sport2,Continental Ultra Sport 23
c_ultra_sport_23_f,https://www.continental-tires.com/bicycle/tires/race-tires/ultra-sport2,Continental Ultra Sport 23 F
c_grand_prix_25_f,https://www.continental-tires.com/bicycle/tires/race-tires/grand-prix-4-season,Continental Grand Prix 25 F
c_grand_prix_28_f,https://www.continental-tires.com/bicycle/tires/race-tires/grand-prix-4-season,Continental Grand Prix 28 F
c_contact_37,https://www.continental-tires.com/bicycle/tires/city-trekking-tires/contact,Continental Contact 37
c_contact_42,https://www.continental-tires.com/bicycle/tires/city-trekking-tires/contact,Continental Contact 42
c_contact_47,https://www.continental-tires.com/bicycle/tires/city-trekking-tires/contact,Continental Contact 47
c_ride_42,https://www.continental-tires.com/bicycle/tires/city-trekking-tires/ride-tour,Continental Ride 42
c_ride_37,https://www.continental-tires.com/bicycle/tires/city-trekking-tires/ride-tour,Continental Ride 37
c_ride_47,https://www.continental-tires.com/bicycle/tires/city-trekking-tires/ride-tour,Continental Ride 47
c_vapor_2_1,https://www.continental-tires.com/bicycle/tires/mountainbike-tires/vapor-2-1,Continental Vapor 2 1
c_cross_king_racesport_2_3,https://www.continental-tires.com/bicycle/tires/mountainbike-tires/cross-king-racesport,Continental Cross King Racesport 2 3
c_mud_king_2_3,https://www.continental-tires.com/bicycle/tires/mountainbike-tires/mud-king-protection-apex,Continental Mud King 2 3
c_der_baron_2_4,https://www.continental-tires.com/bicycle/tires/mountainbike-tires/der-baron-2-4-projekt,Continental Der Baron 2 4
c_double_fighter_III_1_9,https://www.continental-tires.com/bicycle/tires/mountainbike-tires/double-fighter-3,Continental Double Fighter Iii 1 9
